Subject ID: 0
Tue Jun 25 11:07:39 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, Fa, xdes, vdes, cmd, LSB, LSF
3012032, 747611276, 248.629, 248.855, 0.000, -0.775, 0.000, -0.421, -0.358, 0.000, 248.363, -3.131, 2.500, 0, 1 
3012032, 748618236, 248.629, 248.857, 0.000, -0.776, 0.000, -0.541, -1.715, 0.000, 248.360, -3.133, 2.500, 0, 1 
3012032, 749624855, 248.629, 248.860, 0.000, -0.776, 0.000, -0.554, -1.399, 0.000, 248.357, -3.134, 2.500, 0, 1 
3012032, 750632113, 248.629, 248.862, 0.000, -0.777, 0.000, -0.576, -0.579, 0.000, 248.354, -3.136, 2.500, 0, 1 
3012032, 751638622, 248.629, 248.865, 0.000, -0.781, 0.000, -0.393, 0.084, 0.000, 248.350, -3.137, 2.500, 0, 1 
3012032, 752645344, 248.629, 248.867, 0.000, -0.784, 0.000, -0.468, -0.106, 0.000, 248.347, -3.139, 2.500, 0, 1 
3012032, 753652051, 248.629, 248.869, 0.000, -0.785, 0.000, -0.557, -0.327, 0.000, 248.344, -3.140, 2.500, 0, 1 
3012032, 754658655, 248.629, 248.872, 0.000, -0.786, 0.000, -0.551, -0.674, 0.000, 248.341, -3.142, 2.500, 0, 1 
3012032, 755665043, 248.629, 248.874, 0.000, -0.785, 0.000, -0.658, -0.610, 0.000, 248.338, -3.144, 2.500, 0, 1 
3012032, 756672148, 248.629, 248.876, 0.000, -0.785, 0.000, -0.592, -0.547, 0.000, 248.335, -3.145, 2.500, 0, 1 
3012032, 757679183, 248.629, 248.879, 0.000, -0.783, 0.000, -0.708, -1.399, 0.000, 248.332, -3.147, 2.500, 0, 1 
3012032, 758686046, 248.629, 248.881, 0.000, -0.782, 0.000, -0.648, -0.610, 0.000, 248.328, -3.148, 2.500, 0, 1 
3012032, 759692992, 248.629, 248.883, 0.000, -0.783, 0.000, -0.573, -0.169, 0.000, 248.325, -3.150, 2.190, 0, 1 
3012032, 760698862, 248.629, 248.886, 0.000, -0.785, 0.000, -0.509, -0.327, 0.000, 248.322, -3.151, 2.500, 0, 1 
3012032, 761704975, 248.629, 248.888, 0.000, -0.786, 0.000, -0.569, -1.336, 0.000, 248.319, -3.153, 2.500, 0, 1 
3012032, 762712949, 248.629, 248.891, 0.000, -0.788, 0.000, -0.522, -0.453, 0.000, 248.316, -3.155, 2.500, 0, 1 
3012032, 763720147, 248.629, 248.893, 0.000, -0.788, 0.000, -0.614, -0.137, 0.000, 248.313, -3.156, 2.500, 0, 1 
3012032, 764726788, 248.629, 248.895, 0.000, -0.788, 0.000, -0.601, 0.115, 0.000, 248.309, -3.158, 2.500, 0, 1 
3012032, 765738905, 248.629, 248.898, 0.000, -0.789, 0.000, -0.617, -0.579, 0.000, 248.306, -3.159, 2.500, 0, 1 
3012032, 766746912, 248.629, 248.900, 0.000, -0.790, 0.000, -0.544, -0.579, 0.000, 248.303, -3.161, 2.500, 0, 1 
3012032, 767753743, 248.630, 248.902, 0.114, -0.792, 1.142, -0.541, -0.516, 0.000, 248.300, -3.163, 2.500, 0, 1 
3012032, 768760572, 248.630, 248.905, 0.000, -0.796, 0.000, -0.409, -0.011, 0.000, 248.297, -3.164, 2.500, 0, 1 
3012032, 769767057, 248.630, 248.907, 0.114, -0.800, 0.000, -0.450, -0.516, 0.000, 248.294, -3.166, 2.500, 0, 0 
3012032, 770774354, 248.630, 248.909, 0.114, -0.805, 0.000, -0.383, -0.011, 0.000, 248.291, -3.167, 2.500, 0, 1 
3012032, 771780894, 248.630, 248.912, 0.114, -0.809, 0.000, -0.405, -0.043, 0.000, 248.287, -3.169, 2.500, 0, 1 
3012032, 772787468, 248.630, 248.914, 0.114, -0.816, 0.000, -0.257, 0.115, 0.000, 248.284, -3.171, 2.500, 0, 1 
3012032, 773793946, 248.630, 248.917, 0.114, -0.822, 0.000, -0.339, -1.115, 0.000, 248.281, -3.172, 2.500, 0, 1 
3012032, 774800756, 248.630, 248.919, 0.114, -0.829, 0.000, -0.301, -0.989, 0.000, 248.278, -3.174, 2.500, 0, 1 
3012032, 775807317, 248.630, 248.921, 0.114, -0.834, 0.000, -0.390, -0.642, 0.000, 248.275, -3.175, 2.500, 0, 1 
3012032, 776813876, 248.630, 248.924, 0.114, -0.839, 0.000, -0.339, 0.273, 0.000, 248.271, -3.177, 2.500, 0, 1 
3012032, 777820507, 248.630, 248.926, 0.114, -0.843, 0.000, -0.450, -0.768, 0.000, 248.268, -3.179, 2.500, 0, 1 
3012032, 778826960, 248.630, 248.928, 0.000, -0.850, 0.000, -0.301, -0.074, 0.000, 248.265, -3.180, 2.500, 0, 1 
3012032, 779833493, 248.630, 248.931, 0.000, -0.854, 0.000, -0.402, -0.327, 0.000, 248.262, -3.182, 2.500, 0, 1 
3012032, 780840167, 248.630, 248.933, 0.000, -0.859, 0.000, -0.380, -0.547, 0.000, 248.259, -3.183, 2.500, 0, 1 
3012032, 781846840, 248.630, 248.935, 0.000, -0.866, 0.000, -0.304, 0.525, 0.000, 248.256, -3.185, 2.500, 0, 1 
3012032, 782854531, 248.630, 248.938, 0.000, -0.870, 0.000, -0.437, -0.295, 0.000, 248.252, -3.187, 2.500, 0, 1 
3012032, 783861897, 248.630, 248.940, 0.000, -0.875, 0.000, -0.386, -0.200, 0.000, 248.249, -3.188, 2.500, 0, 1 
3012032, 784868737, 248.630, 248.942, 0.000, -0.881, 0.000, -0.342, -0.579, 0.000, 248.246, -3.190, 2.500, 0, 1 
3012032, 785877198, 248.630, 248.945, 0.000, -0.888, 0.000, -0.263, -0.579, 0.000, 248.243, -3.191, 2.500, 0, 1 
